FeatureID,importance_mean,importance_sd,frac_folds_positive,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,cage_F,cage_p,cage_FDR,Genus,Family,cage_confounded
DQ799171.1.1319,0.0016049382716049397,0.008839023367737646,0.2,-2.4996351898590237,0.01970338415357514,0.05919793678143554,2.0575143730808905,2.779821720332094,Pos↓,1.8115969664019609,0.16795138697244563,0.25397526810467386,Massiliomicrobiota,Erysipelatoclostridiaceae,False
KT873246.1.1201,0.0015167548500881784,0.01657148338095708,0.26666666666666666,5.63787330724402,1.3463940909381041e-05,0.0003749611047260145,5.781243425008589,3.134274768697056,Pos↑,0.5423170276373678,0.6573207877817581,0.7277480150440894,Escherichia-Shigella,Enterobacteriaceae,False
DQ057374.1.1386,0.000952380952380956,0.0256848744205318,0.3333333333333333,1.7120366137161762,0.10116984158057857,0.20233968316115714,-0.20813328881613552,-0.9534938944493627,Pos↑,2.2243732313315343,0.10737349160273099,0.17992314809106275,CAG-56,Lachnospiraceae,False
DQ456166.1.1450,0.0008112874779541442,0.008606882641870933,0.13333333333333333,0.4474526466192038,0.6602071004362736,0.7309435754830172,-0.7346835209190348,-0.9850986820844094,Pos↑,12.538414521474555,2.231630146346509e-05,0.0006918053453674178,Pseudoflavonifractor,Oscillospiraceae,True
ad464b0f4f2cef292428ce4cca18f4dc,0.0003350970017636704,0.010419594271464544,0.06666666666666667,0.680376328779039,0.5047308413522503,0.5904398521479155,-0.5502796933340723,-0.8205884083258905,Pos↑,4.267619037471263,0.013322247061409723,0.046550103204604315,Caproiciproducens,Ruminococcaceae,True
HQ806146.1.1448,0.00014109347442680965,0.010265489632586382,0.2,-1.3343389359832563,0.1948254022219074,0.3451192839359502,-0.35040466205961773,0.1844196654098053,Pos↓,6.327665480935048,0.0020565752375028994,0.01593845809064747,GCA-900066575,Lachnospiraceae,True
KJ184999.1.1415,3.5273368606701605e-05,0.0024682538107273074,0.13333333333333333,3.487011789020997,0.0011985048979704707,0.005715946436474553,-1.5934497351716355,-2.3183285163201557,Pos↑,3.0631369067538867,0.04431851081434531,0.1021264126548935,Pseudomonas,Pseudomonadaceae,False
MF765334.1.1250,1.3877787807814458e-18,0.00536717657266276,0.06666666666666667,2.3420288942444834,0.02692200152517734,0.07438472395969839,-0.9978066305258899,-1.9918883652973318,Pos↑,7.888979708276623,0.0005738842778349295,0.005930137537627605,Microbacterium,Microbacteriaceae,True
LN866619.1.1259,0.0,0.0,0.0,4.561414892540227,4.9733915421153905e-05,0.0007708756890278855,-0.7688281140120633,-2.40283715391001,Pos↑,3.4144103648258812,0.03094508531363994,0.07674381157782706,Sphingobacterium,Sphingobacteriaceae,False
HQ686141.1.1218,0.0,0.0,0.0,3.7583470853793344,0.0005108604143880606,0.0031673345692059757,-1.4868833930695209,-2.40283715391001,Pos↑,4.881150822914198,0.007456665403903596,0.03556255808015561,Chryseobacterium,Weeksellaceae,True
