FeatureID,importance_mean,importance_sd,frac_folds_positive
AF129443.1.1436,0.0,0.0,0.0
KP337928.1.1234,0.0,0.0,0.0
KF003417.1.1415,0.0,0.0,0.0
KT767906.1.1422,0.0,0.0,0.0
KT026457.1.1220,0.0,0.0,0.0
KX225278.1.1221,0.0,0.0,0.0
KC108996.1.1244,0.0,0.0,0.0
KX212255.1.1200,0.0,0.0,0.0
APON01000042.130541.131744,0.0,0.0,0.0
HM355725.1.1231,0.0,0.0,0.0
KJ959624.1.1501,0.0,0.0,0.0
EU537172.1.1382,0.0,0.0,0.0
EU705816.1.1232,0.0,0.0,0.0
fc52caa7528d00b1f9ee139319dea276,0.0,0.0,0.0
JX227053.1.1493,0.0,0.0,0.0
AY860235.1.1422,0.0,0.0,0.0
EF444719.1.1219,0.0,0.0,0.0
KC836753.1.1477,0.0,0.0,0.0
e56acb09bca8725f6d206127a3189941,0.0,0.0,0.0
HQ780723.1.1445,0.0,0.0,0.0
5730767d52609a76f4fe770bf14c0917,0.0,0.0,0.0
7ac33c05ad84021985e552b46f46b74a,0.0,0.0,0.0
c40986076d659ca56d66bdbbe8fc06f2,0.0,0.0,0.0
JX095969.1.1221,0.0,0.0,0.0
2eb3b8061af5d60205d652aed9c222ed,0.0,0.0,0.0
HQ810027.1.1241,0.0,0.0,0.0
LWUD01000045.4.1337,0.0,0.0,0.0
AY995250.1.1365,0.0,0.0,0.0
EU600921.1.1486,0.0,0.0,0.0
KY795327.1.1204,0.0,0.0,0.0
KY963445.1.1230,0.0,0.0,0.0
MG755760.1.1200,0.0,0.0,0.0
KU361226.1.1200,0.0,0.0,0.0
DI249699.1.1228,0.0,0.0,0.0
JQ977262.1.1457,0.0,0.0,0.0
MH447042.1.1230,0.0,0.0,0.0
EU469931.1.1279,0.0,0.0,0.0
AF092548.1.1483,0.0,0.0,0.0
DQ793870.1.1284,0.0,0.0,0.0
f21ed7dc4ea6acf7bd4cc247cf9d587a,0.0,0.0,0.0
EF071253.1.1234,0.0,0.0,0.0
EU773969.1.1385,0.0,0.0,0.0
7b071d792fea09d90d9773096db4f8c3,0.0,0.0,0.0
9ba9f18a6810a29f8813508c92f077cc,0.0,0.0,0.0
EU467577.1.1369,0.0,0.0,0.0
793757b64114f95de1385e9eb5989cf9,0.0,0.0,0.0
AB058250.1.1257,0.0,0.0,0.0
KX014141.1.1442,0.0,0.0,0.0
MF498280.1.1204,0.0,0.0,0.0
KC002024.1.1313,0.0,0.0,0.0
5d6d106cf5de9268d7e4703d6a6a6241,0.0,0.0,0.0
EU132593.1.1277,0.0,0.0,0.0
6002421ea9f083767028447e83574ee2,0.0,0.0,0.0
EU802571.1.1254,0.0,0.0,0.0
428e3d450aadbf2928c370c30bf67032,0.0,0.0,0.0
MH718771.1.1217,0.0,0.0,0.0
HE616180.1.1444,0.0,0.0,0.0
KF086785.1.1341,0.0,0.0,0.0
JQ855614.1.1252,0.0,0.0,0.0
JQ014317.1.1286,0.0,0.0,0.0
GFIM01005958.9.1236,0.0,0.0,0.0
087eb6a26342b22cd8733d62442e6a62,0.0,0.0,0.0
943c2b9555821bc4e0459be805be9d4b,0.0,0.0,0.0
EA273498.76.1346,0.0,0.0,0.0
JQ196333.1.1311,0.0,0.0,0.0
d2ef7dbb878e42f09d78a90e19f54bf6,0.0,0.0,0.0
HM057714.1.1504,0.0,0.0,0.0
KX508703.1.1428,0.0,0.0,0.0
06dafa84b8565aab4ca0bf46d4cc3c63,0.0,0.0,0.0
LN680489.1.1289,0.0,0.0,0.0
KT380570.1.1379,0.0,0.0,0.0
KF580866.1.1360,0.0,0.0,0.0
KP214597.3.1209,0.0,0.0,0.0
a3619e4bd3465b6a2aa9638acd081cd2,0.0,0.0,0.0
MG572015.1.1234,0.0,0.0,0.0
eb2a6f290f9640aa35652863ce0c2684,0.0,0.0,0.0
KU053645.1.1448,0.0,0.0,0.0
JF145649.1.1306,0.0,0.0,0.0
569e41cdb450ced9aaf87abc387fc8f6,0.0,0.0,0.0
3a730178fb4cb3b40dd3fda590373475,0.0,0.0,0.0
KJ569212.1.1385,0.0,0.0,0.0
4966214a7565ba69a46597265edc5fc6,0.0,0.0,0.0
e5eb02f3feb9b1b80a85843d37566c6a,0.0,0.0,0.0
736f2237cf9ec2cfcaa5645263c92bca,0.0,0.0,0.0
ef4b9171648179be3a8fb9699fbb94bd,0.0,0.0,0.0
a13d2ac851c652f379103eb69ff1bc14,0.0,0.0,0.0
408c8c2da176e400b44ff317ac0876d3,0.0,0.0,0.0
282df84e87013a21e2f3d41c9042f9d6,0.0,0.0,0.0
32018bce7db6443bd285f8b95338da67,0.0,0.0,0.0
8ef7520d749a002ff44b11ee16c27f1b,0.0,0.0,0.0
c465f577ff4ace3e12a8479197bd7198,0.0,0.0,0.0
8e7f285d81ef2b399b0301d21e6061e5,0.0,0.0,0.0
5c1b884fe5810b2c1045bf75572ef12f,0.0,0.0,0.0
2c4bfc1c3d5e6ce1ac21afc5c61b24d6,0.0,0.0,0.0
63d393fc0e99dd18542fb1d4b2af0cbf,0.0,0.0,0.0
81d6cbdbc40e34b1d58319f78d4860c3,0.0,0.0,0.0
4c9ad755e11e8a1a091959f1e73c9d0c,0.0,0.0,0.0
9eb9acee9f8012d509191f395cd33680,0.0,0.0,0.0
da821e0a5e2bb6359d37fc6ddafd82c1,0.0,0.0,0.0
30d3ed513d2487ebacec1d3806b5ccae,0.0,0.0,0.0
84b87a5527ad7573a01f9a340b45b8b2,0.0,0.0,0.0
ed995199585e2404bfe5f588a06291fc,0.0,0.0,0.0
a6eadb2d1940643ea760afffa030334d,0.0,0.0,0.0
6e37ae39569a812f7c984ba534ac91de,0.0,0.0,0.0
5a64a6f1f4e7afd3bbbf171c5c35b46f,0.0,0.0,0.0
f8bb29a5251534049b2e1c111bc39f14,0.0,0.0,0.0
c51976b33e301cd0c39ff6780038cb3d,0.0,0.0,0.0
00b629e3b3acc8ca9d9839c41326c6e7,0.0,0.0,0.0
13b2a473a55c51abc0b42dce9ecb578e,0.0,0.0,0.0
7333e261c60fccfd1cc66224d4914029,0.0,0.0,0.0
0c9e3ed50197a5f104e61cd0520fbb29,0.0,0.0,0.0
adc4c72e3b695adcbeb1d03eb1f48da5,0.0,0.0,0.0
5d53bfb2037f7206f04684269c8aef31,0.0,0.0,0.0
da6b37f3a4a6331d6ee5af6f86f9df0a,0.0,0.0,0.0
1458f1e7144a7686e3d054d148cb3855,0.0,0.0,0.0
98fcf59486d130abe9a9055704400056,0.0,0.0,0.0
9ccfad1833dbe06085dda16682bdb9ef,0.0,0.0,0.0
816bc6359bb36d4bd2ac7c129451f617,0.0,0.0,0.0
d74cd6582859d0be37e097cbfddc31d1,0.0,0.0,0.0
4ce32c4ee3d941f584c8b7a108fe68db,0.0,0.0,0.0
ca53da738ef5a0dbe50fe54061231539,0.0,0.0,0.0
a50e8f12c186085277959f55303ef905,0.0,0.0,0.0
efb1124a7b972fc805d2cdd072bb7a09,0.0,0.0,0.0
5147978826a18675c0ec7b677e21a6b7,0.0,0.0,0.0
0775e59cd173135c46460efc24f0c35a,0.0,0.0,0.0
9265d5145416b3be7b9362ccc8e3dece,0.0,0.0,0.0
af35970d0e82e7e56bc4c9a97b1aa275,0.0,0.0,0.0
acc07901cb94b7ff01d72de31d9c9e9b,0.0,0.0,0.0
5bd5c3944af33f3c41fe9dd472376f6a,0.0,0.0,0.0
cafeeea8a015957c63e8db16e70ed374,0.0,0.0,0.0
03d08b31a3d27b70b8d57b623e6fda2f,0.0,0.0,0.0
6857d1b6598e3f4e0500dd981ec24bfd,0.0,0.0,0.0
2e73689583c6009968e1d3c321a448f5,0.0,0.0,0.0
172051db4ee13abc3ac82deb1739a056,0.0,0.0,0.0
e9165b84ab328cc9b6c9240b83c34296,0.0,0.0,0.0
e616d0c9166d972025919a91afbfac62,0.0,0.0,0.0
04c4a458a5a1e0ab867bff0b2b936680,0.0,0.0,0.0
bf0a5e99cb2470e070686ca4a5cd102d,0.0,0.0,0.0
da6858e27b2e7bb754853591e2b46704,0.0,0.0,0.0
463b2f0461c807f6f6a2ebd7bcff9c7a,0.0,0.0,0.0
f52c8cce50655f4bc6b73387b9a7e1a5,0.0,0.0,0.0
8ad1796f811039f7bae012f206c4d408,0.0,0.0,0.0
8e450566af04da60335f56e9098b4eec,0.0,0.0,0.0
c4abcba67bae771e7b6acab924c3a033,0.0,0.0,0.0
