SampleID	HostGroup	HostSpecies	SampleContext	Infection	Observed_Genera	Chao1_Genus	Shannon_Genus	Simpson_Genus	InvSimpson_Genus	Pielou_Genus	SequencingDepth
SRR7146660	Duck	Duck	Wild	Pos	43	43	2.66277393930921	0.8853264	8.72040295237962	0.70795859231175	5000
SRR7146661	Duck	Duck	Wild	Pos	9	9.33333333333333	0.425454674204891	0.23433176	1.30604868761436	0.193632766806517	5000
SRR7146662	Duck	Duck	Wild	Pos	32	32	1.4347831443126	0.51948848	2.08111555785385	0.413990905410174	5000
SRR7146663	Duck	Duck	Wild	Pos	13	13	0.302236450629594	0.11033864	1.12402319012708	0.117833301367287	5000
SRR7146665	Duck	Duck	Wild	Pos	26	26	1.83906489848448	0.7580012	4.13225189546394	0.564459916096063	5000
SRR7146666	Duck	Duck	Wild	Neg	9	9	0.296342140778393	0.10004944	1.1111721515013	0.134871120519533	5000
SRR7146667	Duck	Duck	Wild	Neg	25	25	2.05368029164826	0.81265752	5.33781766954297	0.638011654808819	5000
SRR7146668	Duck	Duck	Wild	Neg	15	15	1.8869087960171	0.7770988	4.48629258164604	0.696777628143344	5000
SRR7146671	Duck	Duck	Wild	Neg	22	22	2.39069609755814	0.87421832	7.95028337990079	0.773427131342285	5000
SRR7146672	Duck	Duck	Wild	Pos	27	27	2.05234318191282	0.79582344	4.89772185406591	0.622707756892396	5000
SRR7146674	Duck	Duck	Wild	Pos	19	19	1.64868498246335	0.697257455430514	3.30313666822761	0.559931788068531	4890
SRR7146675	Duck	Duck	Wild	Neg	17	17	0.518373420983833	0.22015656	1.28230866441603	0.18296307338497	5000
SRR7146676	Duck	Duck	Wild	Neg	19	20.6666666666667	0.486130529514679	0.17372728	1.21025416402468	0.165101241001877	5000
SRR7146677	Duck	Duck	Wild	Neg	32	32	2.77600176015711	0.91651232	11.977815169855	0.800984794575539	5000
SRR7146678	Duck	Duck	Wild	Neg	18	19.5	0.349814965950988	0.11923704	1.13537926254301	0.12102767230386	5000
SRR7146679	Duck	Duck	Wild	Neg	22	22	1.36506590197132	0.51128144	2.04616743018722	0.441619913854052	5000
SRR7146680	Duck	Duck	Wild	Pos	12	12	0.871881783647393	0.39091992	1.64182023486961	0.350871041260957	5000
SRR7146683	Duck	Duck	Wild	Neg	25	25	0.538452391006407	0.18239008	1.22307713683317	0.167279640564716	5000
SRR7146684	Duck	Duck	Wild	Neg	21	21	1.53512466371498	0.70884488	3.43459527690944	0.504225110872522	5000
SRR7146685	Duck	Duck	Wild	Neg	24	34	0.447942480914481	0.14430536	1.16864118723474	0.140948676399682	5000
SRR7146686	Duck	Duck	Wild	Pos	26	26.5	2.16368108601403	0.846430368866234	6.51170412155874	0.664093608266118	4998
SRR7146687	Duck	Duck	Wild	Pos	25	25	2.32356538320664	0.867539287839868	7.5494083014675	0.721856172659838	4984
SRR7146688	Duck	Duck	Wild	Neg	27	27	2.19318550699072	0.8352452	6.06962589253849	0.665441159910806	5000
SRR7146690	Duck	Duck	Wild	Pos	23	23	1.91071567490662	0.784367706266835	4.63752429048246	0.609382618280611	4942
SRR7146691	Duck	Duck	Wild	Pos	28	28	1.31193613950715	0.484001325197239	1.93798947329128	0.39371417195464	4992
SRR7146692	Duck	Duck	Wild	Neg	24	24	1.45614469239185	0.60412808	2.5260695428966	0.458187548142452	5000
SRR7146693	Duck	Duck	Wild	Pos	40	41	2.14195969258803	0.79730448	4.93350815055014	0.58065320898444	5000
SRR7146694	Duck	Duck	Wild	Pos	30	30	1.8091140594137	0.730615626661968	3.71216781288634	0.531905048841827	4988
SRR7146696	Duck	Duck	Wild	Pos	27	27	1.96868950866412	0.806821537883398	5.17656051841018	0.597326138611598	4987
SRR7146697	Duck	Duck	Wild	Neg	37	37	2.48269529611619	0.87239808	7.83687267401619	0.687552405282497	5000
SRR7146698	Duck	Duck	Wild	Pos	27	27	1.79114200974552	0.72821909654092	3.67943437994555	0.543455905909866	4987
SRR7146699	Duck	Duck	Wild	Pos	24	24	2.14666721056522	0.85242256	6.77610344778985	0.675465969162074	5000
SRR7146700	Duck	Duck	Wild	Pos	22	22	1.88988231810371	0.75646296	4.10615157349371	0.611406134538984	5000
SRR7146701	Duck	Duck	Wild	Pos	26	26	2.05022156169279	0.8120688	5.32109623096112	0.62926974009733	5000
SRR7146702	Duck	Duck	Wild	Pos	24	25	1.7663318696211	0.70219384	3.35788890330543	0.555790418889071	5000
SRR7146703	Duck	Duck	Wild	Pos	23	23	2.21222972783018	0.83810944	6.17701242123074	0.705544190319811	5000
SRR7146704	Duck	Duck	Wild	Pos	29	31	1.441950927037	0.606924441959477	2.54404014583096	0.428222229302256	4995
SRR7146705	Duck	Duck	Wild	Pos	12	12.2	0.321202843839357	0.122962390602262	1.14020195859867	0.129261533372596	4997
SRR7146707	Duck	Duck	Wild	Pos	19	19	1.61027835682757	0.71668888	3.52968849228368	0.546888004207657	5000
SRR7146710	Duck	Duck	Wild	Pos	25	25	1.9073188080226	0.788303850007849	4.72375147132849	0.592541903383521	4999
SRR7146711	Duck	Duck	Wild	Neg	6	6	0.749072091392325	0.36709552	1.58001725631647	0.418065094259024	5000
SRR7146713	Duck	Duck	Wild	Pos	20	21	1.73627396375471	0.73967136	3.84129844491947	0.579582487755115	5000
SRR7146714	Duck	Duck	Wild	Neg	27	27	1.46584941220913	0.51507584	2.06217813523665	0.444757878440215	5000
SRR7146716	Duck	Duck	Wild	Neg	26	26.5	1.44636735394074	0.62911128	2.69622651236198	0.443930171209434	5000
SRR7146717	Duck	Duck	Wild	Neg	27	27	1.41740769567454	0.62343792	2.65560462168681	0.430060028241906	5000
SRR7146718	Duck	Duck	Wild	Neg	34	34	2.5518079786375	0.89622656	9.63637709225019	0.723637858586584	5000
SRR7146719	Duck	Duck	Wild	Neg	41	41	2.95127754102724	0.921131692309934	12.6793642375308	0.794727418241925	4943
SRR7146720	Duck	Duck	Wild	Neg	39	39	1.95913777574666	0.77721368	4.48860594312972	0.534763152632187	5000
SRR7146721	Duck	Duck	Wild	Neg	27	27	2.06775826571433	0.77387176	4.42226941668144	0.627384894878353	5000
SRR7146723	Duck	Duck	Wild	Neg	23	23	2.22813957774292	0.83393808	6.021850162879	0.710618302666091	5000
SRR7146724	Duck	Duck	Wild	Neg	33	40.5	1.71132156993739	0.6762764	3.08905498394309	0.489437399992249	5000
SRR7146725	Duck	Duck	Wild	Neg	22	22	0.717370775767166	0.2491084	1.33175014875649	0.232080531597929	5000
SRR7146726	Duck	Duck	Wild	Neg	29	29	1.66500678820739	0.64063112	2.78265608307542	0.49446406620415	5000
SRR7146727	Duck	Duck	Wild	Pos	30	33	1.28623581974351	0.59956256	2.49726898663621	0.37817147181118	5000
SRR7146728	Duck	Duck	Wild	Pos	26	26	1.79749524044444	0.700001158650942	3.33334620728241	0.551701037543839	1787
SRR7146729	Duck	Duck	Wild	Pos	23	23	1.26553488158753	0.600678195713231	2.50424592212315	0.403615760207202	4995
SRR7146730	Duck	Duck	Wild	Pos	22	22	1.59531510440204	0.71836808	3.55073387988123	0.516109088915549	5000
SRR7146731	Duck	Duck	Wild	Pos	15	15	0.690503849254286	0.264813674877404	1.36019940228519	0.254981923515761	4999
SRR7146732	Duck	Duck	Wild	Pos	29	29	2.16697264159396	0.78916490602838	4.74304339549186	0.643534976136227	4989
SRR7146733	Duck	Duck	Wild	Pos	32	32.3333333333333	1.3873008553901	0.569888416738194	2.3249780729372	0.400290412858462	4996
SRR7146734	Duck	Duck	Wild	Pos	21	21	1.45752854535076	0.651510298220996	2.86952525396046	0.478737987702481	4980
SRR7146735	Duck	Duck	Wild	Pos	26	26	2.33413768114334	0.859761194834813	7.13069395323284	0.716411454941347	4992
SRR7146736	Duck	Duck	Wild	Pos	22	22	1.43614674825517	0.64223664	2.79514369498319	0.464615666049763	5000
SRR7146738	Duck	Duck	Wild	Pos	22	22	1.08824733932163	0.4631036	1.86255672416503	0.352064831118476	5000
SRR7146739	Duck	Duck	Wild	Neg	24	24.75	1.99362823961793	0.81063704	5.28086379722835	0.627311035634554	5000
SRR7146740	Duck	Duck	Wild	Pos	28	28	1.54427188118135	0.6236484	2.65708980644695	0.463438506389921	5000
SRR7146741	Duck	Duck	Wild	Neg	32	32	2.36182543712324	0.8544712	6.87149210328127	0.681478769116621	5000
SRR7146743	Duck	Duck	Wild	Pos	14	14.3333333333333	1.48239176361598	0.719846194287771	3.56946784091589	0.561712603580345	4994
SRR7146744	Duck	Duck	Wild	Pos	20	20	1.31876229096616	0.53072512	2.13094721797169	0.44021366749227	5000
